batch,loss,accuracy
35,"tensor(3.0002, device='cuda:0', grad_fn=<NllLossBackward0>)",0.261
36,"tensor(3.0778, device='cuda:0', grad_fn=<NllLossBackward0>)",0.271
37,"tensor(3.0460, device='cuda:0', grad_fn=<NllLossBackward0>)",0.264
38,"tensor(2.9896, device='cuda:0', grad_fn=<NllLossBackward0>)",0.252
39,"tensor(2.9730, device='cuda:0', grad_fn=<NllLossBackward0>)",0.271
40,"tensor(2.9913, device='cuda:0', grad_fn=<NllLossBackward0>)",0.267
41,"tensor(2.8755, device='cuda:0', grad_fn=<NllLossBackward0>)",0.286
42,"tensor(2.8893, device='cuda:0', grad_fn=<NllLossBackward0>)",0.279
43,"tensor(2.9000, device='cuda:0', grad_fn=<NllLossBackward0>)",0.274
44,"tensor(2.8613, device='cuda:0', grad_fn=<NllLossBackward0>)",0.284
45,"tensor(2.7504, device='cuda:0', grad_fn=<NllLossBackward0>)",0.306
46,"tensor(2.9462, device='cuda:0', grad_fn=<NllLossBackward0>)",0.295
47,"tensor(2.8278, device='cuda:0', grad_fn=<NllLossBackward0>)",0.308
48,"tensor(2.8226, device='cuda:0', grad_fn=<NllLossBackward0>)",0.292
49,"tensor(2.8500, device='cuda:0', grad_fn=<NllLossBackward0>)",0.291
50,"tensor(2.7947, device='cuda:0', grad_fn=<NllLossBackward0>)",0.304
51,"tensor(2.7914, device='cuda:0', grad_fn=<NllLossBackward0>)",0.306
52,"tensor(2.8621, device='cuda:0', grad_fn=<NllLossBackward0>)",0.301
53,"tensor(2.7622, device='cuda:0', grad_fn=<NllLossBackward0>)",0.309
54,"tensor(2.8024, device='cuda:0', grad_fn=<NllLossBackward0>)",0.291
55,"tensor(2.7270, device='cuda:0', grad_fn=<NllLossBackward0>)",0.322
56,"tensor(2.7539, device='cuda:0', grad_fn=<NllLossBackward0>)",0.296
57,"tensor(2.8077, device='cuda:0', grad_fn=<NllLossBackward0>)",0.298
58,"tensor(2.8125, device='cuda:0', grad_fn=<NllLossBackward0>)",0.3
59,"tensor(2.7266, device='cuda:0', grad_fn=<NllLossBackward0>)",0.333
60,"tensor(2.8214, device='cuda:0', grad_fn=<NllLossBackward0>)",0.303
61,"tensor(2.6659, device='cuda:0', grad_fn=<NllLossBackward0>)",0.315
62,"tensor(2.7969, device='cuda:0', grad_fn=<NllLossBackward0>)",0.307
63,"tensor(2.7639, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
64,"tensor(2.8063, device='cuda:0', grad_fn=<NllLossBackward0>)",0.301
65,"tensor(2.6619, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
66,"tensor(2.7345, device='cuda:0', grad_fn=<NllLossBackward0>)",0.315
67,"tensor(2.7222, device='cuda:0', grad_fn=<NllLossBackward0>)",0.305
68,"tensor(2.7993, device='cuda:0', grad_fn=<NllLossBackward0>)",0.308
69,"tensor(2.7602, device='cuda:0', grad_fn=<NllLossBackward0>)",0.324
70,"tensor(2.7009, device='cuda:0', grad_fn=<NllLossBackward0>)",0.345
71,"tensor(2.6213, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
72,"tensor(2.7699, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
73,"tensor(2.7062, device='cuda:0', grad_fn=<NllLossBackward0>)",0.356
74,"tensor(2.6791, device='cuda:0', grad_fn=<NllLossBackward0>)",0.329
75,"tensor(2.6579, device='cuda:0', grad_fn=<NllLossBackward0>)",0.341
76,"tensor(2.7025, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
77,"tensor(2.7174, device='cuda:0', grad_fn=<NllLossBackward0>)",0.356
78,"tensor(2.6545, device='cuda:0', grad_fn=<NllLossBackward0>)",0.335
79,"tensor(2.6331, device='cuda:0', grad_fn=<NllLossBackward0>)",0.349
80,"tensor(2.7368, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
81,"tensor(2.5137, device='cuda:0', grad_fn=<NllLossBackward0>)",0.387
82,"tensor(2.7132, device='cuda:0', grad_fn=<NllLossBackward0>)",0.33
83,"tensor(2.7204, device='cuda:0', grad_fn=<NllLossBackward0>)",0.323
84,"tensor(2.5935, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
85,"tensor(2.6281, device='cuda:0', grad_fn=<NllLossBackward0>)",0.319
86,"tensor(2.7887, device='cuda:0', grad_fn=<NllLossBackward0>)",0.304
87,"tensor(2.7070, device='cuda:0', grad_fn=<NllLossBackward0>)",0.33
88,"tensor(2.6405, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
89,"tensor(2.7335, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
90,"tensor(2.7430, device='cuda:0', grad_fn=<NllLossBackward0>)",0.31
91,"tensor(2.7218, device='cuda:0', grad_fn=<NllLossBackward0>)",0.33
92,"tensor(2.6869, device='cuda:0', grad_fn=<NllLossBackward0>)",0.317
93,"tensor(2.6054, device='cuda:0', grad_fn=<NllLossBackward0>)",0.365
94,"tensor(2.6690, device='cuda:0', grad_fn=<NllLossBackward0>)",0.332
95,"tensor(2.6887, device='cuda:0', grad_fn=<NllLossBackward0>)",0.324
96,"tensor(2.6711, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
97,"tensor(2.6885, device='cuda:0', grad_fn=<NllLossBackward0>)",0.32
98,"tensor(2.7490, device='cuda:0', grad_fn=<NllLossBackward0>)",0.323
99,"tensor(2.7250, device='cuda:0', grad_fn=<NllLossBackward0>)",0.332
100,"tensor(2.7725, device='cuda:0', grad_fn=<NllLossBackward0>)",0.308
101,"tensor(2.6302, device='cuda:0', grad_fn=<NllLossBackward0>)",0.359
102,"tensor(2.6729, device='cuda:0', grad_fn=<NllLossBackward0>)",0.31
103,"tensor(2.6149, device='cuda:0', grad_fn=<NllLossBackward0>)",0.325
104,"tensor(2.6832, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
105,"tensor(2.7817, device='cuda:0', grad_fn=<NllLossBackward0>)",0.327
106,"tensor(2.6443, device='cuda:0', grad_fn=<NllLossBackward0>)",0.354
107,"tensor(2.7444, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
108,"tensor(2.5976, device='cuda:0', grad_fn=<NllLossBackward0>)",0.357
109,"tensor(2.6446, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
110,"tensor(2.7764, device='cuda:0', grad_fn=<NllLossBackward0>)",0.315
111,"tensor(2.6041, device='cuda:0', grad_fn=<NllLossBackward0>)",0.371
112,"tensor(2.6275, device='cuda:0', grad_fn=<NllLossBackward0>)",0.339
113,"tensor(2.6532, device='cuda:0', grad_fn=<NllLossBackward0>)",0.363
114,"tensor(2.5776, device='cuda:0', grad_fn=<NllLossBackward0>)",0.357
115,"tensor(2.7753, device='cuda:0', grad_fn=<NllLossBackward0>)",0.306
116,"tensor(2.6540, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
117,"tensor(2.6410, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
118,"tensor(2.7099, device='cuda:0', grad_fn=<NllLossBackward0>)",0.354
119,"tensor(2.6942, device='cuda:0', grad_fn=<NllLossBackward0>)",0.341
120,"tensor(2.6924, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
121,"tensor(2.5789, device='cuda:0', grad_fn=<NllLossBackward0>)",0.367
122,"tensor(2.5595, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
123,"tensor(2.5732, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
124,"tensor(2.6302, device='cuda:0', grad_fn=<NllLossBackward0>)",0.332
125,"tensor(2.6500, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
126,"tensor(2.6086, device='cuda:0', grad_fn=<NllLossBackward0>)",0.353
127,"tensor(2.6082, device='cuda:0', grad_fn=<NllLossBackward0>)",0.362
128,"tensor(2.6167, device='cuda:0', grad_fn=<NllLossBackward0>)",0.339
129,"tensor(2.5481, device='cuda:0', grad_fn=<NllLossBackward0>)",0.359
130,"tensor(2.6165, device='cuda:0', grad_fn=<NllLossBackward0>)",0.347
131,"tensor(2.6742, device='cuda:0', grad_fn=<NllLossBackward0>)",0.32
132,"tensor(2.5347, device='cuda:0', grad_fn=<NllLossBackward0>)",0.382
133,"tensor(2.7046, device='cuda:0', grad_fn=<NllLossBackward0>)",0.317
134,"tensor(2.5418, device='cuda:0', grad_fn=<NllLossBackward0>)",0.371
135,"tensor(2.5914, device='cuda:0', grad_fn=<NllLossBackward0>)",0.363
136,"tensor(2.5470, device='cuda:0', grad_fn=<NllLossBackward0>)",0.374
137,"tensor(2.6304, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
138,"tensor(2.6402, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
139,"tensor(2.5787, device='cuda:0', grad_fn=<NllLossBackward0>)",0.355
140,"tensor(2.6070, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
141,"tensor(2.7576, device='cuda:0', grad_fn=<NllLossBackward0>)",0.322
142,"tensor(2.7151, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
143,"tensor(2.6620, device='cuda:0', grad_fn=<NllLossBackward0>)",0.318
144,"tensor(2.6293, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
145,"tensor(2.6287, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
146,"tensor(2.6639, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
147,"tensor(2.6373, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
148,"tensor(2.5618, device='cuda:0', grad_fn=<NllLossBackward0>)",0.363
149,"tensor(2.6775, device='cuda:0', grad_fn=<NllLossBackward0>)",0.371
150,"tensor(2.6759, device='cuda:0', grad_fn=<NllLossBackward0>)",0.355
151,"tensor(2.5914, device='cuda:0', grad_fn=<NllLossBackward0>)",0.365
152,"tensor(2.5705, device='cuda:0', grad_fn=<NllLossBackward0>)",0.361
153,"tensor(2.6497, device='cuda:0', grad_fn=<NllLossBackward0>)",0.334
154,"tensor(2.6467, device='cuda:0', grad_fn=<NllLossBackward0>)",0.354
155,"tensor(2.5741, device='cuda:0', grad_fn=<NllLossBackward0>)",0.358
156,"tensor(2.5714, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
157,"tensor(2.5686, device='cuda:0', grad_fn=<NllLossBackward0>)",0.349
158,"tensor(2.4887, device='cuda:0', grad_fn=<NllLossBackward0>)",0.365
159,"tensor(2.5390, device='cuda:0', grad_fn=<NllLossBackward0>)",0.355
160,"tensor(2.6538, device='cuda:0', grad_fn=<NllLossBackward0>)",0.332
161,"tensor(2.5930, device='cuda:0', grad_fn=<NllLossBackward0>)",0.343
162,"tensor(2.4846, device='cuda:0', grad_fn=<NllLossBackward0>)",0.381
163,"tensor(2.6553, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
164,"tensor(2.6067, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
165,"tensor(2.5944, device='cuda:0', grad_fn=<NllLossBackward0>)",0.353
166,"tensor(2.6138, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
167,"tensor(2.7226, device='cuda:0', grad_fn=<NllLossBackward0>)",0.328
168,"tensor(2.5554, device='cuda:0', grad_fn=<NllLossBackward0>)",0.378
169,"tensor(2.5066, device='cuda:0', grad_fn=<NllLossBackward0>)",0.38
170,"tensor(2.6705, device='cuda:0', grad_fn=<NllLossBackward0>)",0.33
171,"tensor(2.5525, device='cuda:0', grad_fn=<NllLossBackward0>)",0.386
172,"tensor(2.5925, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
173,"tensor(2.5882, device='cuda:0', grad_fn=<NllLossBackward0>)",0.381
174,"tensor(2.6739, device='cuda:0', grad_fn=<NllLossBackward0>)",0.345
175,"tensor(2.6481, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
176,"tensor(2.5480, device='cuda:0', grad_fn=<NllLossBackward0>)",0.365
177,"tensor(2.6205, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
178,"tensor(2.5782, device='cuda:0', grad_fn=<NllLossBackward0>)",0.364
179,"tensor(2.7156, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
180,"tensor(2.6453, device='cuda:0', grad_fn=<NllLossBackward0>)",0.357
181,"tensor(2.5270, device='cuda:0', grad_fn=<NllLossBackward0>)",0.362
182,"tensor(2.5616, device='cuda:0', grad_fn=<NllLossBackward0>)",0.363
183,"tensor(2.7499, device='cuda:0', grad_fn=<NllLossBackward0>)",0.339
184,"tensor(2.5310, device='cuda:0', grad_fn=<NllLossBackward0>)",0.357
185,"tensor(2.6313, device='cuda:0', grad_fn=<NllLossBackward0>)",0.349
186,"tensor(2.5843, device='cuda:0', grad_fn=<NllLossBackward0>)",0.367
187,"tensor(2.5982, device='cuda:0', grad_fn=<NllLossBackward0>)",0.366
188,"tensor(2.6014, device='cuda:0', grad_fn=<NllLossBackward0>)",0.37
189,"tensor(2.6241, device='cuda:0', grad_fn=<NllLossBackward0>)",0.355
190,"tensor(2.5856, device='cuda:0', grad_fn=<NllLossBackward0>)",0.339
191,"tensor(2.6328, device='cuda:0', grad_fn=<NllLossBackward0>)",0.357
192,"tensor(2.6747, device='cuda:0', grad_fn=<NllLossBackward0>)",0.335
193,"tensor(2.5760, device='cuda:0', grad_fn=<NllLossBackward0>)",0.359
194,"tensor(2.5581, device='cuda:0', grad_fn=<NllLossBackward0>)",0.372
195,"tensor(2.6281, device='cuda:0', grad_fn=<NllLossBackward0>)",0.354
196,"tensor(2.6984, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
197,"tensor(2.5570, device='cuda:0', grad_fn=<NllLossBackward0>)",0.371
198,"tensor(2.7497, device='cuda:0', grad_fn=<NllLossBackward0>)",0.354
199,"tensor(2.7336, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
200,"tensor(2.6441, device='cuda:0', grad_fn=<NllLossBackward0>)",0.345
201,"tensor(2.6699, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
202,"tensor(2.6006, device='cuda:0', grad_fn=<NllLossBackward0>)",0.354
203,"tensor(2.6392, device='cuda:0', grad_fn=<NllLossBackward0>)",0.365
204,"tensor(2.5784, device='cuda:0', grad_fn=<NllLossBackward0>)",0.375
205,"tensor(2.6990, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
206,"tensor(2.6531, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
207,"tensor(2.5962, device='cuda:0', grad_fn=<NllLossBackward0>)",0.36
208,"tensor(2.5946, device='cuda:0', grad_fn=<NllLossBackward0>)",0.372
209,"tensor(2.6358, device='cuda:0', grad_fn=<NllLossBackward0>)",0.353
210,"tensor(2.5310, device='cuda:0', grad_fn=<NllLossBackward0>)",0.37
211,"tensor(2.6061, device='cuda:0', grad_fn=<NllLossBackward0>)",0.383
212,"tensor(2.6923, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
213,"tensor(2.6487, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
214,"tensor(2.6672, device='cuda:0', grad_fn=<NllLossBackward0>)",0.327
215,"tensor(2.6790, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
216,"tensor(2.5773, device='cuda:0', grad_fn=<NllLossBackward0>)",0.382
217,"tensor(2.5496, device='cuda:0', grad_fn=<NllLossBackward0>)",0.386
218,"tensor(2.7215, device='cuda:0', grad_fn=<NllLossBackward0>)",0.323
219,"tensor(2.5694, device='cuda:0', grad_fn=<NllLossBackward0>)",0.36
220,"tensor(2.7389, device='cuda:0', grad_fn=<NllLossBackward0>)",0.333
221,"tensor(2.7938, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
222,"tensor(2.6145, device='cuda:0', grad_fn=<NllLossBackward0>)",0.33
223,"tensor(2.6759, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
224,"tensor(2.5743, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
225,"tensor(2.6613, device='cuda:0', grad_fn=<NllLossBackward0>)",0.368
226,"tensor(2.5821, device='cuda:0', grad_fn=<NllLossBackward0>)",0.368
227,"tensor(2.5593, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
228,"tensor(2.6881, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
229,"tensor(2.6332, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
230,"tensor(2.6032, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
231,"tensor(2.5864, device='cuda:0', grad_fn=<NllLossBackward0>)",0.356
232,"tensor(2.6694, device='cuda:0', grad_fn=<NllLossBackward0>)",0.366
233,"tensor(2.6017, device='cuda:0', grad_fn=<NllLossBackward0>)",0.367
234,"tensor(2.4913, device='cuda:0', grad_fn=<NllLossBackward0>)",0.381
235,"tensor(2.6824, device='cuda:0', grad_fn=<NllLossBackward0>)",0.355
236,"tensor(2.5552, device='cuda:0', grad_fn=<NllLossBackward0>)",0.36
237,"tensor(2.5746, device='cuda:0', grad_fn=<NllLossBackward0>)",0.375
238,"tensor(2.6746, device='cuda:0', grad_fn=<NllLossBackward0>)",0.354
239,"tensor(2.5939, device='cuda:0', grad_fn=<NllLossBackward0>)",0.355
240,"tensor(2.7020, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
241,"tensor(2.7409, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
242,"tensor(2.6011, device='cuda:0', grad_fn=<NllLossBackward0>)",0.348
243,"tensor(2.4594, device='cuda:0', grad_fn=<NllLossBackward0>)",0.385
244,"tensor(2.5726, device='cuda:0', grad_fn=<NllLossBackward0>)",0.365
245,"tensor(2.6812, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
246,"tensor(2.5872, device='cuda:0', grad_fn=<NllLossBackward0>)",0.367
247,"tensor(2.6015, device='cuda:0', grad_fn=<NllLossBackward0>)",0.378
248,"tensor(2.6467, device='cuda:0', grad_fn=<NllLossBackward0>)",0.356
249,"tensor(2.6007, device='cuda:0', grad_fn=<NllLossBackward0>)",0.36
250,"tensor(2.6310, device='cuda:0', grad_fn=<NllLossBackward0>)",0.347
251,"tensor(2.5521, device='cuda:0', grad_fn=<NllLossBackward0>)",0.383
252,"tensor(2.7028, device='cuda:0', grad_fn=<NllLossBackward0>)",0.345
253,"tensor(2.5963, device='cuda:0', grad_fn=<NllLossBackward0>)",0.356
254,"tensor(2.6258, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
255,"tensor(2.4991, device='cuda:0', grad_fn=<NllLossBackward0>)",0.369
256,"tensor(2.5982, device='cuda:0', grad_fn=<NllLossBackward0>)",0.359
257,"tensor(2.5593, device='cuda:0', grad_fn=<NllLossBackward0>)",0.364
258,"tensor(2.5740, device='cuda:0', grad_fn=<NllLossBackward0>)",0.371
259,"tensor(2.5379, device='cuda:0', grad_fn=<NllLossBackward0>)",0.361
260,"tensor(2.6359, device='cuda:0', grad_fn=<NllLossBackward0>)",0.339
261,"tensor(2.5794, device='cuda:0', grad_fn=<NllLossBackward0>)",0.362
262,"tensor(2.7006, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
263,"tensor(2.6746, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
264,"tensor(2.7385, device='cuda:0', grad_fn=<NllLossBackward0>)",0.327
265,"tensor(2.6712, device='cuda:0', grad_fn=<NllLossBackward0>)",0.375
266,"tensor(2.6615, device='cuda:0', grad_fn=<NllLossBackward0>)",0.36
267,"tensor(2.6755, device='cuda:0', grad_fn=<NllLossBackward0>)",0.373
268,"tensor(2.7365, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
269,"tensor(2.6375, device='cuda:0', grad_fn=<NllLossBackward0>)",0.347
270,"tensor(2.5427, device='cuda:0', grad_fn=<NllLossBackward0>)",0.372
271,"tensor(2.6662, device='cuda:0', grad_fn=<NllLossBackward0>)",0.355
272,"tensor(2.5446, device='cuda:0', grad_fn=<NllLossBackward0>)",0.391
273,"tensor(2.5973, device='cuda:0', grad_fn=<NllLossBackward0>)",0.361
274,"tensor(2.6473, device='cuda:0', grad_fn=<NllLossBackward0>)",0.368
275,"tensor(2.6689, device='cuda:0', grad_fn=<NllLossBackward0>)",0.358
276,"tensor(2.5703, device='cuda:0', grad_fn=<NllLossBackward0>)",0.355
277,"tensor(2.6733, device='cuda:0', grad_fn=<NllLossBackward0>)",0.366
278,"tensor(2.6747, device='cuda:0', grad_fn=<NllLossBackward0>)",0.357
279,"tensor(2.5800, device='cuda:0', grad_fn=<NllLossBackward0>)",0.359
280,"tensor(2.7709, device='cuda:0', grad_fn=<NllLossBackward0>)",0.318
281,"tensor(2.6987, device='cuda:0', grad_fn=<NllLossBackward0>)",0.345
282,"tensor(2.7428, device='cuda:0', grad_fn=<NllLossBackward0>)",0.357
283,"tensor(2.4917, device='cuda:0', grad_fn=<NllLossBackward0>)",0.379
284,"tensor(2.5574, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
285,"tensor(2.6899, device='cuda:0', grad_fn=<NllLossBackward0>)",0.327
286,"tensor(2.5706, device='cuda:0', grad_fn=<NllLossBackward0>)",0.378
287,"tensor(2.6538, device='cuda:0', grad_fn=<NllLossBackward0>)",0.356
288,"tensor(2.6993, device='cuda:0', grad_fn=<NllLossBackward0>)",0.357
289,"tensor(2.4641, device='cuda:0', grad_fn=<NllLossBackward0>)",0.407
290,"tensor(2.6642, device='cuda:0', grad_fn=<NllLossBackward0>)",0.318
291,"tensor(2.5665, device='cuda:0', grad_fn=<NllLossBackward0>)",0.355
292,"tensor(2.6193, device='cuda:0', grad_fn=<NllLossBackward0>)",0.362
293,"tensor(2.7124, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
294,"tensor(2.5519, device='cuda:0', grad_fn=<NllLossBackward0>)",0.386
295,"tensor(2.7800, device='cuda:0', grad_fn=<NllLossBackward0>)",0.312
296,"tensor(2.6533, device='cuda:0', grad_fn=<NllLossBackward0>)",0.368
297,"tensor(2.5451, device='cuda:0', grad_fn=<NllLossBackward0>)",0.35
298,"tensor(2.5690, device='cuda:0', grad_fn=<NllLossBackward0>)",0.369
299,"tensor(2.6949, device='cuda:0', grad_fn=<NllLossBackward0>)",0.357
300,"tensor(2.5941, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
301,"tensor(2.5763, device='cuda:0', grad_fn=<NllLossBackward0>)",0.335
302,"tensor(2.6232, device='cuda:0', grad_fn=<NllLossBackward0>)",0.371
303,"tensor(2.7206, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
304,"tensor(2.6917, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
305,"tensor(2.5934, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
306,"tensor(2.5771, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
307,"tensor(2.5807, device='cuda:0', grad_fn=<NllLossBackward0>)",0.359
308,"tensor(2.6462, device='cuda:0', grad_fn=<NllLossBackward0>)",0.36
309,"tensor(2.6852, device='cuda:0', grad_fn=<NllLossBackward0>)",0.359
310,"tensor(2.6889, device='cuda:0', grad_fn=<NllLossBackward0>)",0.334
311,"tensor(2.6059, device='cuda:0', grad_fn=<NllLossBackward0>)",0.358
312,"tensor(2.5503, device='cuda:0', grad_fn=<NllLossBackward0>)",0.381
313,"tensor(2.6985, device='cuda:0', grad_fn=<NllLossBackward0>)",0.362
314,"tensor(2.5601, device='cuda:0', grad_fn=<NllLossBackward0>)",0.36
315,"tensor(2.5392, device='cuda:0', grad_fn=<NllLossBackward0>)",0.362
316,"tensor(2.5956, device='cuda:0', grad_fn=<NllLossBackward0>)",0.385
317,"tensor(2.5928, device='cuda:0', grad_fn=<NllLossBackward0>)",0.354
318,"tensor(2.6516, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
319,"tensor(2.6301, device='cuda:0', grad_fn=<NllLossBackward0>)",0.335
320,"tensor(2.5674, device='cuda:0', grad_fn=<NllLossBackward0>)",0.367
321,"tensor(2.6933, device='cuda:0', grad_fn=<NllLossBackward0>)",0.327
322,"tensor(2.5287, device='cuda:0', grad_fn=<NllLossBackward0>)",0.377
323,"tensor(2.5642, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
324,"tensor(2.5580, device='cuda:0', grad_fn=<NllLossBackward0>)",0.364
325,"tensor(2.7120, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
326,"tensor(2.6168, device='cuda:0', grad_fn=<NllLossBackward0>)",0.362
327,"tensor(2.6307, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
328,"tensor(2.5148, device='cuda:0', grad_fn=<NllLossBackward0>)",0.379
329,"tensor(2.5359, device='cuda:0', grad_fn=<NllLossBackward0>)",0.358
330,"tensor(2.5691, device='cuda:0', grad_fn=<NllLossBackward0>)",0.359
331,"tensor(2.4815, device='cuda:0', grad_fn=<NllLossBackward0>)",0.39
